filename,extracted_text
dietgo.kitchen_1723867185_3436369471959554349_30356002527.jpg," 
"
dietgo.kitchen_1722402250_3424080705677159015_30356002527.jpg,"#APAKATAMEREKA

“Pesanan pertama..rasa enak
harga pas dikantong. Packing
rapi.. langganan pokoknya!”

H*****K | Purchased on Shopeefood

1000 8.8 “Bagus, memuaskan. Makanan
enak & fresh! Porsi ngarepnya
dibanyakin hihi. Makasih!

SALMA | Purchased on Grabfood

kKkkkk

“Enak semuanya.. recommended
apalagi buat yang lagi program
sehat, bakal jadi langganan nih!”

NUGRAHA | Purchased on Gofood

kk kkk

“Sudah kesekian kali beli lagi
di Dietgo, selalu enak dan tidak
mengecewakan! Goodjob Dietgo!”

FIKRI | Purchased on Shopeefood

2 0 oe

 
"
dietgo.kitchen_1722402250_3424080705601646250_30356002527.jpg,"DIEGGO

JULY'S REVIEW
IN COMMENTS!

“Semoga diskon tiap hari biar
bisa makan diet tiap hari juga
NAW ems }st- k= 18 lc1.a

RYAYU | Purchased on Shopeefood

) oOo es

 
"
dietgo.kitchen_1721719814_3418356024382694865_30356002527.jpg,"DIEGGO

BROWN RICE.

    
 

POTATOES.

GRIILLED CHICKEN.
"
dietgo.kitchen_1721895167_3419826985116207440_30356002527.jpg,"DIEGGO

   

 

@gofood  GraoFood {1 shopeeFood nia ai
"
dietgo.kitchen_1721623637_3417549227510051040_30356002527.jpg," 

 

 

 

 
"
dietgo.kitchen_1721623637_3417549227585550172_30356002527.jpg," 

 

Ris Sunday!

FIND US!
28 July 2024

DATE & TIME

Sunday, 28 July 2024 | 07.00-09.00

VENUE
Gor Tridaya Cakti | JI. Cikuray, Kota Bandung

 

Dietgo will be present at the Pound Fitness event by
Pound van Java. See you there everyone!

 
"
dietgo.kitchen_1721372610_3415443465828727621_30356002527.jpg,"Now Available!

SURABAYA

SINCE 19 JULY 2024

KLAMPIS

Jl. Klampis Anom | No.32

TEGALSARI

 

 

Jl. Kedondong No.25

Foodurama is now available in Dietgo’s Surabaya Outlet.
This collaboration will be up there since 19 July 2024.
"
dietgo.kitchen_1721372610_3415443465828623980_30356002527.jpg," 
"
dietgo.kitchen_1721372610_3415443465828646129_30356002527.jpg,"D)(=\exeTe@,
<FOODURAMA

 
"
dietgo.kitchen_1721126213_3413376536750139374_30356002527.jpg," 

 

BS Ae
|

Leal

 

 

 
"
dietgo.kitchen_1720767871_3410370542541490705_30356002527.jpg,"    

KENAPA
open mat
"
dietgo.kitchen_1720411631_3407382183754051066_30356002527.jpg,"DIECGO

 

HAPPY ISLAMIC NEW YEAR 1446H
"
dietgo.kitchen_1720678655_3409622148811245608_30356002527.jpg,"Py =leke revue

Cys YOUR Sa es oO;

    

 

 

 

 

 
"
dietgo.kitchen_1720168121_3405339477619995176_30356002527.jpg," 

a t | 6
HITUNG IMT KAMU! ka
APAKAH KAMU MASUK KE DALA
KATEGORI OBESITAS? —

4 oe mo

   
"
dietgo.kitchen_1719992987_3403870349595934321_30356002527.jpg,"DIEGGO #APAKATAMEREKA?

APA IYA
SEENAK ITU?

“Best bangeet ini tempat buat
kita yang lagi jaga pola makan.
10000% WORTH ITTTT”

RIZKI| Purchased on Gofood

bo ee @ 4

 
"
dietgo.kitchen_1720168121_3405339477578015639_30356002527.jpg,"Kurus: 17-1
PE Moi ,
Gemuk: >25-27
Obesitas: >27

een E nce So a eee)

 

#EduGo

 
"
dietgo.kitchen_1719738217_3401733183197529756_30356002527.jpg,"SMOKED BEEF | 100%

COMPLETED

MASHED

 

POTATOES

 

LOADING

MASHED POTATOES | 75% weer?
"
